sku_name,sales_2021,sales_2022,sales_difference
shahi_buy one get one free Shahi Dal Moong,240,0,-240
RS_Plain Rusk,160,0,-160
RB_Dettol Germ Busting Kit-bf,200,50,-150
RB_Household Bundle,133,0,-133
CK_BF530-Underwear-Pack of 3-XL,119,0,-119
vitamin_TVC-BB Cream (Buy 2 Get Kojic Facewash Free,99,0,-99
RS_Baklawa 500gm,107,18,-89
RS_Honey Dry Fruit Halwa,52,0,-52
Adolphs_TT-1-Black-S,50,0,-50
CA_shirt-Small,50,0,-50
jn_900g,59,10,-49
RS_Soan Papri-250gm,51,7,-44
samsungGALAXY S-7 EDGE 32GB LTE,41,0,-41
Posh_CS0073-17,38,0,-38
Topline_Waheed Murad His Life and Our Times,46,10,-36
Lenovo Zuk,35,0,-35
Mardaz_MDZ-P-18-M,34,0,-34
RS_Chum Chum Tin,29,0,-29
RS_Habshi Halwa Tin,27,0,-27
Javaid_Nihari_with_7up,26,0,-26
vitamin_Ultra Creatine,26,2,-24
Dawlance_MD 10 + DWB 600,23,0,-23
Huawei Mate 8 With 4GB Ram,22,0,-22
HR_Soan Papdi 500g,21,0,-21
Huawei P8 lite,21,0,-21
RS_Kaju Barfi,34,13,-21
Telemall_MM-DR-HB-L,23,2,-21
TTmachine_pakistan05-M,20,0,-20
iu_Tickets General Enclosure-Islamabad,20,0,-20
Harry Potter and The Cursed Child-Hazir-Karachi,19,0,-19
MDF 018_Ajwa Dates 250 gm,19,1,-18
cr_CASHEW NUT PLAIN-500 GM,22,5,-17
BB_bundle_bf,17,1,-16
iPhone SE-16GB,16,0,-16
PNG_Pampers_10003452-Karachi,15,0,-15
West Point_WF-7901GL,15,0,-15
liberty_9780751565355,15,0,-15
samsungGALAXY J510F-2016 DS LTE,15,0,-15
trzwus_76111120200000_WN16-07(B,15,0,-15
Al Muhafiz Sohan Halwa Cashew,20,6,-14
Al Muhafiz Sohan Halwa Walnut,15,1,-14
Apple iPhone 6S Plus 16GB Silver,20,6,-14
Audionic_B-880,14,0,-14
adenwala_Deal No.3,14,0,-14
Al Muhafiz Sohan Halwa Almond,53,40,-13
ISn 100% Whey Protein Chocolate,24,11,-13
RS_Rehmat-e-Shereen Mix Mithai,13,0,-13
cr_PISTA PLAIN-500 GM,16,3,-13
emart_00-7,20,7,-13
Apple iPhone 6 Plus (128GB,12,0,-12
Apple iPhone 6S 128GB,12,0,-12
Changhong Ruba_32 Inches Black HD Ready LED TV - 32E3600,12,0,-12
GMZV_PlayStation 4 - 500GB - Region 2 - UK PAL - Black,16,4,-12
Karak_Honey 1 Kg,12,0,-12
UK_Sohan Halwa Tin Pack 400 Gms,12,0,-12
greenroot_Natural Khawa tea 50gm,12,0,-12
lenovo_80J2021CUE,12,0,-12
