category,total_before_discount,total_after_discount,discount_impact
Mobiles & Tablets,3173684020.0,3170268407.54,3415612.46
Entertainment,1290703597.4,1281838042.78,8865554.62
Appliances,1110287879.26,1105633367.66,4654511.6
Computing,1104633200.0,1101766509.4,2866690.6
,404520362.0,403906429.1,613932.9
Men Fashion,280267136.0,279019551.94,1247584.06
Women Fashion,263911791.4,262798608.42,1113182.98
Home & Living,213384436.0,212059333.78,1325102.22
Beauty & Grooming,166552568.0,165897407.54,655160.46
Others,152305448.0,148913904.96,3391543.04
Health & Sports,148646518.0,147466009.2,1180508.8
Superstore,99158165.9,96362108.86,2796057.04
Kids & Baby,70429211.5,70161871.52,267339.98
Soghaat,49242812.0,48903239.4,339572.6
School & Education,32291952.4,32023101.52,268850.88
Books,19786874.0,19588032.6,198841.4
