payment_method,total_sales_x,total_quantity_sold_x,total_net_profit_x,month,total_sales_y,total_quantity_sold_y,total_net_profit_y,quarter,total_sales,total_quantity_sold,total_net_profit
Cash on Delivery,80104902.0,662,14655981.72,2021-08,60320.0,1,18096.0,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2021-08,60320.0,1,18096.0,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2021-08,60320.0,1,18096.0,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2021-08,60320.0,1,18096.0,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2021-11,53276422.0,348,6967432.7,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2021-11,53276422.0,348,6967432.7,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2021-11,53276422.0,348,6967432.7,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2021-11,53276422.0,348,6967432.7,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2021-12,446600.0,1,133980.0,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2021-12,446600.0,1,133980.0,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2021-12,446600.0,1,133980.0,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2021-12,446600.0,1,133980.0,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2022-01,518810.0,5,155643.0,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2022-01,518810.0,5,155643.0,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2022-01,518810.0,5,155643.0,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2022-01,518810.0,5,155643.0,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2022-02,1222292.0,8,366687.6,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2022-02,1222292.0,8,366687.6,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2022-02,1222292.0,8,366687.6,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2022-02,1222292.0,8,366687.6,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2022-03,599952.0,3,176810.1,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2022-03,599952.0,3,176810.1,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2022-03,599952.0,3,176810.1,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2022-03,599952.0,3,176810.1,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2022-04,9425116.0,33,2805784.8,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2022-04,9425116.0,33,2805784.8,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2022-04,9425116.0,33,2805784.8,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2022-04,9425116.0,33,2805784.8,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2022-05,2556466.0,6,758239.8,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2022-05,2556466.0,6,758239.8,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2022-05,2556466.0,6,758239.8,Q3,5897788.0,32,1636420.12
