month,payment_method,total_sales,total_quantity_sold,total_net_profit
2021-01,EasyPaisa,49325346.0,140,14183670.9
2021-01,,35067380.0,14,10520214.0
2021-01,Credit Card,31753912.5,76,9526173.75
2021-01,Debit Card,1947582.0,1,584274.6
2021-01,JazzCash,376188.0,1,112856.4
2021-02,EasyPaisa,46267238.0,29,13880171.4
2021-02,,33945138.0,15,10183541.4
2021-02,Credit Card,29189283.0,155,8756784.9
2021-02,JazzCash,4734540.0,1,1420362.0
2021-03,,96305926.0,50,28891777.8
2021-03,EasyPaisa,47408968.0,17,14222690.4
2021-03,Credit Card,31206552.0,216,9350365.6
2021-04,EasyPaisa,36105000.0,25,10831500.0
2021-04,Credit Card,33178766.6,87,9924629.98
2021-04,,11757934.0,11,3527380.2
2021-05,EasyPaisa,45284312.0,22,13585293.6
2021-05,Credit Card,34064444.0,166,10136410.6
2021-05,,26457570.0,12,7937271.0
2021-05,JazzCash,1116500.0,3,334950.0
2021-06,EasyPaisa,54483170.0,20,16344951.0
2021-06,Credit Card,30780020.0,175,9176006.0
2021-06,,23115262.0,6,6934578.6
2021-06,JazzCash,2014050.0,2,604215.0
2021-07,,246489560.0,118,73946868.0
2021-07,Credit Card,192686341.4,384,57707836.02
2021-07,EasyPaisa,49528172.0,24,14858451.6
2021-07,JazzCash,473222.0,2,141966.6
2021-08,,209592976.0,99,62877892.8
2021-08,Credit Card,167014944.0,404,50046483.2
2021-08,EasyPaisa,61019190.0,23,18305757.0
2021-08,JazzCash,336342.0,11,100902.6
2021-08,Cash on Delivery,60320.0,1,18096.0
2021-09,,174017284.0,74,52205185.2
2021-09,Credit Card,141691053.6,466,42463137.48
2021-09,EasyPaisa,138677652.0,124,40982684.0
2021-09,JazzCash,3050220.0,6,915066.0
2021-09,Debit Card,232000.0,2,69600.0
2021-10,EasyPaisa,245273938.0,123,73582181.4
2021-10,Credit Card,202519327.9,590,60726798.37
2021-10,,27918590.0,34,8375577.0
2021-10,JazzCash,6088434.0,9,1826530.2
2021-11,Credit Card,184329481.0,449,55269844.3
2021-11,EasyPaisa,181799724.0,120,50323097.38
2021-11,Debit Card,60760220.0,29,15898513.4
2021-11,Cash on Delivery,53276422.0,348,6967432.7
2021-11,,18101162.0,24,5430348.6
2021-11,JazzCash,2929000.0,4,873945.74
2021-12,Credit Card,239820517.0,374,71940355.1
2021-12,EasyPaisa,149964336.0,133,44989300.8
2021-12,,22444956.0,15,6733486.8
2021-12,Debit Card,7924192.0,10,2377257.6
2021-12,JazzCash,2689112.0,22,806733.6
2021-12,Cash on Delivery,446600.0,1,133980.0
2022-01,Credit Card,237556669.7,608,70987915.35
2022-01,EasyPaisa,168249851.0,113,50358399.08
2022-01,,17094514.0,18,5128354.2
2022-01,JazzCash,6076950.0,26,1794085.0
2022-01,Debit Card,5952598.0,6,1785779.4
2022-01,Cash on Delivery,518810.0,5,155643.0
2022-02,Credit Card,186408984.0,484,55880127.26
2022-02,EasyPaisa,132503088.0,83,39624382.0
2022-02,,22033156.0,11,6609946.8
2022-02,Debit Card,18436170.0,29,5530851.0
2022-02,JazzCash,2767470.0,8,830241.0
2022-02,Cash on Delivery,1222292.0,8,366687.6
2022-03,Credit Card,274536040.0,487,82175212.0
2022-03,,134850696.0,260,39990875.3
2022-03,EasyPaisa,82309467.5,62,24543780.25
2022-03,JazzCash,5496370.0,26,1648911.0
2022-03,Debit Card,4350000.0,3,1305000.0
2022-03,Cash on Delivery,599952.0,3,176810.1
2022-04,,321787190.0,267,94964969.48
2022-04,Credit Card,176455836.0,696,52614162.92
2022-04,EasyPaisa,167520414.0,124,49991568.8
2022-04,Cash on Delivery,9425116.0,33,2805784.8
2022-04,JazzCash,5591142.0,7,1677342.6
2022-04,Debit Card,316854.0,5,95056.2
2022-05,EasyPaisa,183590494.88,107,52856609.76
2022-05,Credit Card,172303071.38,438,51530477.17
2022-05,,147666550.0,99,43286517.66
2022-05,Debit Card,19189648.0,3,5392081.94
2022-05,JazzCash,8046050.0,6,2413815.0
2022-05,Cash on Delivery,2556466.0,6,758239.8
2022-06,Credit Card,138508820.38,341,41363112.55
2022-06,,129889144.0,73,38518113.2
2022-06,EasyPaisa,100667004.0,95,28807184.8
2022-06,Debit Card,14592452.0,4,4319735.6
2022-06,Cash on Delivery,5623506.0,219,1524193.6
2022-06,JazzCash,3330302.0,11,999090.6
2022-07,Credit Card,186917352.26,381,54623812.52
2022-07,EasyPaisa,177905326.76,93,52892232.67
2022-07,,77099284.0,73,22817240.6
2022-07,JazzCash,3602496.0,14,1080748.8
2022-07,Cash on Delivery,1518672.0,18,395996.16
2022-07,Debit Card,58000.0,1,17400.0
2022-08,Debit Card,522539400.0,1001,156761820.0
2022-08,EasyPaisa,67326632.0,59,19962173.2
2022-08,Credit Card,57532462.0,134,17208233.44
2022-08,,31355322.0,17,9406596.6
2022-08,JazzCash,8576228.0,17,2567068.4
2022-08,Cash on Delivery,335124.0,3,73874.02
2022-09,Debit Card,519912000.0,1001,155973600.0
2022-09,EasyPaisa,49885684.0,38,14937284.62
2022-09,,43961767.0,17,13188530.1
2022-09,Credit Card,41993624.0,107,12545536.88
2022-09,Cash on Delivery,3983672.0,10,1148453.94
2022-09,JazzCash,715720.0,2,214716.0
2022-10,Credit Card,55145008.0,112,16473902.4
2022-10,,38765054.0,18,11390814.3
2022-10,EasyPaisa,28766318.0,24,8629895.4
2022-10,JazzCash,1868412.0,2,560523.6
2022-10,Cash on Delivery,264480.0,3,64496.0
2022-11,EasyPaisa,69349324.0,61,20303677.2
2022-11,,38602886.0,17,11242696.8
2022-11,Credit Card,26557852.0,97,7916642.72
2022-11,Debit Card,4929942.0,1,1478982.6
2022-11,JazzCash,4325060.0,7,1297518.0
2022-12,Credit Card,41581302.0,102,11585415.32
2022-12,EasyPaisa,37394224.0,22,11011126.58
2022-12,,25772590.0,28,7209777.0
2022-12,JazzCash,5927774.0,3,1018230.6
2022-12,Cash on Delivery,273470.0,4,66294.0
