quarter,payment_method,total_sales,total_quantity_sold,total_net_profit
Q1,Credit Card,790651441.2,2026,236676578.86
Q1,EasyPaisa,526063958.5,444,156813094.03
Q1,,339296810.0,368,101324709.5
Q1,Debit Card,30686350.0,39,9205905.0
Q1,JazzCash,19451518.0,62,5806455.4
Q1,Cash on Delivery,2341054.0,16,699140.7
Q2,,660673650.0,468,195168830.14
Q2,EasyPaisa,587650394.88,393,172417107.96
Q2,Credit Card,585290958.36,1903,174744799.23
Q2,Debit Card,34098954.0,12,9806873.74
Q2,JazzCash,20098044.0,29,6029413.2
Q2,Cash on Delivery,17605088.0,258,5088218.2
Q3,Debit Card,1042741400.0,2005,312822420.0
Q3,Credit Card,787835777.26,1876,234595039.54
Q3,,782516193.0,398,234442313.3
Q3,EasyPaisa,544342656.76,361,161938583.09
Q3,JazzCash,16754228.0,52,5020468.4
Q3,Cash on Delivery,5897788.0,32,1636420.12
Q4,Credit Card,749953487.9,1724,223912958.21
Q4,EasyPaisa,712547864.0,483,208839278.76
Q4,,171605238.0,136,50382700.5
Q4,Debit Card,73614354.0,40,19754753.6
Q4,Cash on Delivery,54260972.0,356,7232202.7
Q4,JazzCash,23827792.0,47,6383481.74
